State,County,Pop 2010,Pop 2011,Pop 2012,Pop 2013,Pop 2014,Pop 2015,Pop 2016,Pop 2017,Pop 2018,Pop 2019
OK,Oklahoma,3751351,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971
OK,Adair County,22683,22667,22468,22460,22384,22259,22305,22119,22224,22194
OK,Alfalfa County,5642,5648,5668,5856,5821,5917,5936,5913,5765,5702
OK,Atoka County,14182,14169,14030,13901,13924,13889,13894,13779,13795,13758
OK,Beaver County,5636,5634,5590,5563,5532,5455,5435,5364,5318,5311
OK,Beckham County,22119,22308,23070,23468,23596,23554,22427,21779,21720,21859
OK,Blaine County,11943,9685,9806,9785,9839,9762,9625,9512,9454,9429
OK,Bryan County,42416,43120,43453,44118,44483,45021,45599,46481,47191,47995
OK,Caddo County,29600,29602,29728,29580,29440,29433,29630,29356,29028,28762
OK,Canadian County,115541,119397,122500,125943,129321,133158,136386,140001,144426,148306
OK,Carter County,47557,48067,48023,48465,48582,48568,48431,48273,48213,48111
OK,Cherokee County,46987,47702,47989,47870,48240,48376,48791,48891,48607,48657
OK,Choctaw County,15205,15281,15177,15053,15110,14984,14877,14804,14698,14672
OK,Cimarron County,2475,2476,2398,2328,2294,2225,2189,2152,2165,2137
OK,Cleveland County,255755,262064,266150,269860,269724,273841,277809,279542,281166,284014
OK,Coal County,5925,5927,5902,5763,5727,5608,5652,5630,5520,5495
OK,Comanche County,124098,126075,126536,124949,124778,124005,121743,121786,120528,120749
OK,Cotton County,6193,6180,6160,6164,6131,6006,5933,5863,5820,5666
OK,Craig County,15029,14985,14763,14701,14639,14709,14465,14332,14300,14142
OK,Creek County,69967,70651,70760,70575,70559,70801,71191,71890,71730,71522
OK,Custer County,27469,27796,28590,29310,29509,29565,29222,28974,28995,29003
OK,Delaware County,41487,41654,41716,41695,41763,41704,41965,42672,42814,43009
OK,Dewey County,4810,4785,4817,4857,4966,4984,4905,4899,4931,4891
OK,Ellis County,4151,4040,4080,4133,4118,4223,4085,3970,3939,3859
OK,Garfield County,60580,60763,61399,62370,62790,63248,62493,61600,61095,61056
OK,Garvin County,27576,27468,27345,27429,27620,27920,27940,27857,27746,27711
OK,Grady County,52431,52751,53026,53637,53878,54559,54683,54829,55448,55834
OK,Grant County,4527,4563,4534,4521,4472,4500,4454,4379,4321,4333
OK,Greer County,6239,6144,6055,6139,6123,6031,5954,5793,5814,5712
OK,Harmon County,2922,2934,2914,2891,2801,2782,2712,2710,2691,2653
OK,Harper County,3685,3713,3711,3871,3894,3826,3776,3784,3727,3688
OK,Haskell County,12769,12759,12820,12917,12827,12750,12695,12726,12636,12627
OK,Hughes County,14003,13752,13661,13643,13684,13592,13417,13265,13305,13279
OK,Jackson County,26446,26422,26226,26109,25822,25459,25440,25112,24775,24530
OK,Jefferson County,6472,6452,6341,6357,6291,6266,6250,6164,6106,6002
OK,Johnston County,10957,11072,10967,10986,11097,10967,11126,11121,11020,11085
OK,Kay County,46562,45847,45684,45541,45451,45226,44901,44403,43944,43538
OK,Kingfisher County,15034,15160,15022,15300,15504,15588,15613,15688,15814,15765
OK,Kiowa County,9446,9425,9360,9344,9282,9116,9025,8849,8732,8708
OK,Latimer County,11154,11182,11009,10794,10779,10624,10550,10318,10175,10073
OK,Le Flore County,50384,50504,50343,50301,50211,50018,50144,50020,50093,49853
OK,Lincoln County,34273,34254,34156,34235,34527,34928,34872,34961,34837,34877
OK,Logan County,41848,42575,43042,43829,44680,45346,46027,46785,47248,48011
OK,Love County,9423,9387,9572,9700,9741,9815,10016,10076,10156,10253
OK,McClain County,34506,35196,35580,36457,37244,37973,38597,39306,39887,40474
OK,McCurtain County,33151,33309,33345,33228,33192,33173,33078,33031,32967,32832
OK,McIntosh County,20252,20267,20197,20110,19963,19817,19766,19701,19745,19596
OK,Major County,7527,7639,7700,7710,7785,7771,7751,7684,7627,7629
OK,Marshall County,15840,15949,16020,16065,16163,16266,16237,16364,16727,16931
OK,Mayes County,41259,41324,41151,40963,40918,40889,41035,40988,41210,41100
OK,Murray County,13488,13600,13620,13683,13765,13860,13909,13918,13968,14073
OK,Muskogee County,70990,70763,70529,70172,69725,69319,69012,69027,68324,67997
OK,Noble County,11561,11579,11531,11422,11547,11550,11410,11303,11279,11131
OK,Nowata County,10536,10624,10610,10557,10505,10519,10415,10322,10278,10076
OK,Okfuskee County,12191,12333,12335,12298,12167,12107,12079,12076,12081,11993
OK,Oklahoma County,718633,730808,743403,756187,766882,777373,784611,786068,790593,797434
OK,Okmulgee County,40069,39783,39551,39396,39079,39065,39075,38819,38321,38465
OK,Osage County,47472,47784,47460,47391,47493,47338,47364,47346,47121,46963
OK,Ottawa County,31848,31869,32181,32163,31929,31862,31592,31368,31319,31127
OK,Pawnee County,16577,16731,16447,16456,16355,16439,16471,16419,16356,16376
OK,Payne County,77350,78238,78725,79698,80520,81363,81850,81908,82172,81784
OK,Pittsburg County,45837,45717,45544,45267,44847,44716,44335,44154,43870,43654
OK,Pontotoc County,37492,37749,38060,38159,38286,38336,38512,38371,38272,38284
OK,Pottawatomie County,69442,70059,70512,70906,71535,71479,72001,72185,72513,72592
OK,Pushmataha County,11572,11416,11252,11206,11117,11162,11070,11118,11192,11096
OK,Roger Mills County,3647,3761,3767,3732,3761,3773,3671,3661,3646,3583
OK,Rogers County,86905,87562,88101,88727,89366,90080,90992,91435,91801,92459
OK,Seminole County,25482,25445,25384,25438,25354,25399,25137,24845,24520,24258
OK,Sequoyah County,42391,42421,42050,41814,41852,41782,41867,41742,41585,41569
OK,Stephens County,45048,45104,44881,44976,44563,44576,43998,43340,43179,43143
OK,Texas County,20640,21258,21594,22048,21738,21446,21183,20924,20491,19983
OK,Tillman County,7992,8002,7828,7728,7670,7567,7525,7399,7323,7250
OK,Tulsa County,603403,609204,615181,623705,630918,640470,645951,646437,647683,651552
OK,Wagoner County,73085,74035,74984,75654,75651,76733,77662,78984,80123,81289
OK,Washington County,50976,51362,51627,51646,51997,52091,52027,51996,51791,51527
OK,Washita County,11629,11546,11582,11701,11560,11687,11433,11055,11036,10916
OK,Woods County,8878,8791,8851,9000,9250,9303,9157,9069,8893,8793
OK,Woodward County,20081,20111,20670,21240,21536,21608,20975,20531,20312,20211
